Rank,Title,Series,Number in series,Author,Score,Votes,Avg rating,Number of ratings
30,Crystal Singer ,Crystal Singer ,1,Anne McCaffrey,4235,47, 4.09,17775
31,Mirror Dance ,Vorkosigan Saga ,8,Lois McMaster Bujold,4120,47, 4.33,17331
32,Lilith's Brood ,,1-3,Octavia E. Butler,4108,47, 4.33,12573
33,The Vor Game ,Vorkosigan Saga ,6,Lois McMaster Bujold,3895,46, 4.28,18977
34,Wild Seed ,Patternmaster ,1,Octavia E. Butler,3842,43, 4.21,14438
35,A Wind in the Door ,Time Quintet ,2,Madeleine L'Engle,3700,42, 4.04,106044
36,A Civil Campaign ,Vorkosigan Saga ,12,Lois McMaster Bujold,3683,43, 4.43,14496
37,Brothers in Arms ,Vorkosigan Saga ,5,Lois McMaster Bujold,3653,43, 4.21,13277
38,Cetaganda ,Vorkosigan Saga ,9,Lois McMaster Bujold,3618,43, 4.17,14831
39,The Snow Queen ,The Snow Queen Cycle ,1,Joan D. Vinge,3535,43, 3.95,11144
40,Cinder ,The Lunar Chronicles ,1,Marissa Meyer,3440,38, 4.15,582936
41,Downbelow Station ,The Company Wars ,1,C.J. Cherryh,3381,40, 3.91,12110
42,The Ship Who Sang ,Brainship ,1,Anne McCaffrey,3361,39, 4.01,21161
43,Dragon Dawn ,Dinosaurian Time Travel ,1,Deborah O'Neill Cordes,3340,34, 3.81,194
44,Dragonsong ,Harper Hall ,1,Anne McCaffrey,3092,36, 4.25,43820
45,Falling Free ,Vorkosigan Saga ,4,Lois McMaster Bujold,3054,37, 3.83,16015
46,Ethan of Athos ,Vorkosigan Saga ,3,Lois McMaster Bujold,2904,36, 3.76,11391
47,A Swiftly Tilting Planet ,Time Quintet ,3,Madeleine L'Engle,2831,32, 4.11,95090
48,Dawn ,Xenogenesis ,1,Octavia E. Butler,2755,32, 4.12,22785
49,Komarr ,Vorkosigan Saga ,11,Lois McMaster Bujold,2579,31, 4.30,12913
50,Foreigner ,Foreigner ,1,C.J. Cherryh,2547,30, 3.94,7158
51,Where Late the Sweet Birds Sang,,,Kate Wilhelm,2535,30, 3.87,8284
52,Beggars in Spain ,Sleepless ,1,Nancy Kress,2526,30, 3.94,6813
53,Her Smoke Rose Up Forever,,,James Tiptree Jr.,2524,29, 4.21,3311
54,The Silver Metal Lover ,Silver Metal Lover ,1,Tanith Lee,2504,29, 4.03,3384
55,Cordelia's Honor ,Vorkosigan Omnibus ,1,Lois McMaster Bujold,2498,31, 4.37,11641
56,The Pride of Chanur ,Chanur ,,C.J. Cherryh,2469,31, 3.92,5913
57,Station Eleven,,,Emily St. John Mandel,2450,28, 4.03,253872
58,Cyteen ,,1-3,C.J. Cherryh,2316,30,really liked it 4.00,9285
59,Borders of Infinity ,,,Lois McMaster Bujold,2306,29, 4.24,8713
60,Grass ,Arbai ,1,Sheri S. Tepper,2203,27, 4.04,9267
61,Chameleon ,The Domino Project ,1,K.T. Hanna,2199,22, 4.18,191
62,The Gate to Women's Country,,,Sheri S. Tepper,2191,27, 4.05,11542
63,The Female Man,,,Joanna Russ,2128,26, 3.54,5351
64,In the Garden of Iden ,The Company ,1,Kage Baker,2038,26, 3.77,4995
65,Rogue Genesis ,Shimmer in the Dark ,1,Ceri London,2013,21, 4.44,133
66,Parable of the Talents ,Earthseed ,2,Octavia E. Butler,2006,25, 4.24,17408
67,The Faded Sun Trilogy ,,,C.J. Cherryh,1931,23, 4.12,4628
68,Diplomatic Immunity ,Vorkosigan Saga ,13,Lois McMaster Bujold,1914,26, 4.18,12109
69,His Majesty's Dragon ,Temeraire ,1,Naomi Novik,1849,22, 4.06,67100
70,The Speed of Dark,,,Elizabeth Moon,1819,24,really liked it 4.00,9438
71,Darkover Landfall,,,Marion Zimmer Bradley,1748,21, 3.88,5952
72,Machinations ,Machinations ,1,Hayley Stone,1698,17, 3.79,248
73,Vertigo ,Aurora Rhapsody ,2,G.S. Jennsen,1684,18, 4.22,1042
74,CryoBurn ,Vorkosigan Saga ,14,Lois McMaster Bujold,1683,24, 4.06,11943
