Song title,URL,Popularity,Year
"Me, Marlon Brando, Marlon Brando and I Lyrics",http://www.metrolyrics.com/me-marlon-brando-marlon-brando-and-i-lyrics-rem.html,6,2011
Milk & Cookies Lyrics,http://www.metrolyrics.com/milk-cookies-lyrics-rem.html,6,2008
Mine Smell Like Honey Lyrics,http://www.metrolyrics.com/mine-smell-like-honey-lyrics-rem.html,6,2011
Miracle Lyrics,http://www.metrolyrics.com/miracle-lyrics-rem.html,6,2008
Monty Got A Raw Deal Lyrics,http://www.metrolyrics.com/monty-got-a-raw-deal-lyrics-rem.html,6,2006
Moon River Lyrics,http://www.metrolyrics.com/moon-river-lyrics-rem.html,6,2006
Moral Kiosk Lyrics,http://www.metrolyrics.com/moral-kiosk-lyrics-rem.html,6,2006
Mr. Richards Lyrics,http://www.metrolyrics.com/mrrichards-lyrics-rem.html,13.726078121136,2008
Mr. Richards Lyrics,http://www.metrolyrics.com/mr-richards-lyrics-rem.html,6,2008
Mystery To Me Lyrics,http://www.metrolyrics.com/mystery-to-me-lyrics-rem.html,6,2006
Narrator Lyrics,http://www.metrolyrics.com/narrator-lyrics-rem.html,6,2006
Near Wild Heaven Lyrics,http://www.metrolyrics.com/near-wild-heaven-lyrics-rem.html,6,2006
NEW ORLEANS INSTRUMENTAL NO. 1 Lyrics,http://www.metrolyrics.com/new-orleans-instrumental-no-1-lyrics-rem.html,6,2007
New Test Leper Lyrics,http://www.metrolyrics.com/new-test-leper-lyrics-rem.html,6,2011
Nightswimming Lyrics,http://www.metrolyrics.com/nightswimming-lyrics-rem.html,69.830912397378,2003
Oddfellows Local 151 Lyrics,http://www.metrolyrics.com/oddfellows-local-151-lyrics-rem.html,6,2008
Oh My Heart Lyrics,http://www.metrolyrics.com/oh-my-heart-lyrics-rem.html,6,2011
Old Man Kensey Lyrics,http://www.metrolyrics.com/old-man-kensey-lyrics-rem.html,6,2006
On the Fly Lyrics,http://www.metrolyrics.com/on-the-fly-lyrics-rem.html,6,2016
Orange Crush Lyrics,http://www.metrolyrics.com/orange-crush-lyrics-rem.html,57.236716329075,2003
Out Of Time Lyrics,http://www.metrolyrics.com/out-of-time-lyrics-rem.html,6,2006
Pale Blue Eyes Lyrics,http://www.metrolyrics.com/pale-blue-eyes-lyrics-rem.html,6,2006
Parakeet Lyrics,http://www.metrolyrics.com/parakeet-lyrics-rem.html,6,2006
Passenger Lyrics,http://www.metrolyrics.com/passenger-lyrics-rem.html,6,2006
Perfect Circle Lyrics,http://www.metrolyrics.com/perfect-circle-lyrics-rem.html,6,2014
Permanent Vacation Lyrics,http://www.metrolyrics.com/permanent-vacation-lyrics-rem.html,6,2006
Photograph Lyrics,http://www.metrolyrics.com/photograph-lyrics-rem.html,6,2006
Pilgrimage Lyrics,http://www.metrolyrics.com/pilgrimage-lyrics-rem.html,6,2006
Pop Song 89 Lyrics,http://www.metrolyrics.com/pop-song-89-lyrics-rem.html,21.755319103969,2011
Pretty Persuasion Lyrics,http://www.metrolyrics.com/pretty-persuasion-lyrics-rem.html,13.726078121136,2006
Psa (a.k.a. Bad Day) Lyrics,http://www.metrolyrics.com/psa-aka-bad-day-lyrics-rem.html,6,2006
Radio Free Europe Lyrics,http://www.metrolyrics.com/radio-free-europe-lyrics-rem.html,50.792524653759,2011
Radio Song Lyrics,http://www.metrolyrics.com/radio-song-lyrics-rem.html,13.726078121136,2014
Revolution Lyrics,http://www.metrolyrics.com/revolution-lyrics-rem.html,6,2006
Rockville Lyrics,http://www.metrolyrics.com/rockville-lyrics-rem.html,6,2006
