name,URL,city,state
Central Maryland Rock and Mineral Collectors Exchange,https://www.meetup.com/rockhounds/,Elkridge,Maryland
Chesapeake Gem & Mineral Society,http://www.chesapeakegemandmineral.org/,Baltimore,Maryland
"Gem Cutters Guild of Baltimore, Inc.",http://www.gemcuttersguild.com/,Baltimore,Maryland
"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",http://www.glmsmc.com/,Rockville,Maryland
Maryland Geological Society,http://www.ecphora.net/mgs/,Bowie,Maryland
Micromineralogists of the National Capital Area,http://dcmicrominerals.org/,"Washington, DC",Maryland
Patuxent Lapidary Guild,http://www.patuxentlapidary.org/,Annapolis,Maryland
Southern Maryland Rock and Mineral Club,http://www.smrmc.org/,Clinton,Maryland
The Mineralogical Society of the District of Columbia,http://www.mineralogicalsocietyofdc.org/,"Washington, DC",Maryland
"Boston Mineral Club, Inc.",http://www.bostonmineralclub.org/,Boston,Massachusetts
Connecticut Valley Mineral Club,http://www.cvmineralclub.org/,Springfield,Massachusetts
Micromounters of New England,http://micromountersofnewengland.org/,Chemlsford,Massachusetts
Nashoba Valley Mineralogical Society,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society,Westford,Massachusetts
North Shore Rock & Mineral Club of Massachusetts,http://www.northshorerock.org/,South Hamilton,Massachusetts
Northern Berkshire Mineral Club,http://nbmclub.webs.com/,North Adams,Massachusetts
Southeastern Massachusetts Mineral Club,http://semmc.com/,Bridgewater,Massachusetts
Worcester Mineral Club,http://worcestermineralclub.org/,Worcester,Massachusetts
"Big Rapids Rock, Gem & Mineral Club",https://sites.google.com/site/bigrapidsrockgemmineralclub/,Big Rapids,Michigan
Central Michigan Lapidary and Mineral Society,http://michrocks.org/,Lansing,Michigan
Copper Country Rock and Mineral Club,http://www.ccrmc.info/,Dollar Bay,Michigan
Flint Rock and Gem Club,http://www.flintrockandgem.org/,Flint,Michigan
Grand Traverse Area Rock and Mineral Club,http://tcrockhounds.com/,Traverse City,Michigan
Indian Mounds Rock & Mineral Club,http://www.indianmoundsrockclub.com/,Wyoming,Michigan
Ishpeming Rock and Mineral Club,http://www.ishpemingrocks.org/,Ishpeming,Michigan
Kalamazoo Geological & Mineral Society,http://kalamazoorockclub.org/,Kalamazoo,Michigan
Livingston Gem & Mineral Society,http://www.livingstongemandmineralsociety.com/,Howell,Michigan
Michigan Gem & Mineral Society,http://mgmsrockclub.com/,Michigan Center,Michigan
Michigan Mineralogical Society,https://www.michmin.org/,Bloomfield Hills,Michigan
Mid-Michigan Rock Club,http://www.midmichrockclub.com/?Page=1,Midland,Michigan
Midwest Faceters' Guild,http://www.midwestfaceters.org/,Grand Rapids,Michigan
Midwest Mineralological & Lapidary Society,http://www.mmls.us/,Taylor,Michigan
Mikenauk Rock and Gem Club,http://mikenaukclub.weebly.com/,Roscommon,Michigan
Mount Clemens Gem & Lapidary Society,http://mcgls.org/,Mt. Clemens,Michigan
Oakland County Earth Science Club,http://www.ocesc.com/,Waterford,Michigan
